loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.0,2.0,2.0,2.0,1.2,1.2,1.2,1.2,1.4,b'false'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,b'true'
83.0,11.0,1.0,11.0,171.0,927.89,0.04,23.04,40.27,21378.61,0.31,1187.7,65.0,10.0,6.0,0.0,18.0,25.0,107.0,64.0,21.0,b'true'
46.0,8.0,6.0,8.0,141.0,769.78,0.07,14.86,51.81,11436.73,0.26,635.37,37.0,2.0,5.0,0.0,16.0,28.0,89.0,52.0,15.0,b'true'
25.0,3.0,1.0,3.0,58.0,254.75,0.11,9.35,27.25,2381.95,0.08,132.33,21.0,0.0,2.0,0.0,11.0,10.0,41.0,17.0,5.0,b'true'
43.0,3.0,1.0,3.0,115.0,569.73,0.09,11.27,50.53,6423.73,0.19,356.87,35.0,2.0,4.0,0.0,11.0,20.0,74.0,41.0,5.0,b'true'
48.0,6.0,1.0,6.0,149.0,751.61,0.06,15.43,48.72,11596.34,0.25,644.24,41.0,2.0,2.0,0.0,12.0,21.0,95.0,54.0,11.0,b'true'
69.0,12.0,1.0,12.0,231.0,1212.27,0.04,27.27,44.45,33061.94,0.4,1836.77,62.0,3.0,2.0,0.0,16.0,22.0,156.0,75.0,23.0,b'true'
47.0,6.0,1.0,6.0,149.0,745.0,0.06,16.2,45.99,12069.0,0.25,670.5,41.0,2.0,1.0,0.0,12.0,20.0,95.0,54.0,11.0,b'true'
48.0,7.0,1.0,7.0,155.0,801.34,0.06,17.82,44.97,14278.39,0.27,793.24,42.0,2.0,1.0,0.0,14.0,22.0,99.0,56.0,13.0,b'true'
58.0,9.0,1.0,9.0,193.0,1027.13,0.05,20.7,49.62,21261.63,0.34,1181.2,50.0,2.0,2.0,0.0,15.0,25.0,124.0,69.0,17.0,b'true'
65.0,6.0,1.0,5.0,155.0,801.34,0.05,19.73,40.62,15808.22,0.27,878.23,54.0,4.0,5.0,0.0,14.0,22.0,93.0,62.0,11.0,b'true'
116.0,11.0,4.0,8.0,289.0,1700.08,0.04,26.6,63.91,45222.23,0.57,2512.35,88.0,14.0,12.0,0.0,19.0,40.0,177.0,112.0,21.0,b'true'
24.0,4.0,1.0,4.0,74.0,347.83,0.09,11.37,30.6,3953.7,0.12,219.65,20.0,0.0,0.0,0.0,11.0,15.0,43.0,31.0,7.0,b'true'
77.0,19.0,12.0,19.0,231.0,1245.63,0.03,29.25,42.59,36434.54,0.42,2024.14,61.0,7.0,7.0,0.0,18.0,24.0,153.0,78.0,37.0,b'true'
9.0,1.0,1.0,1.0,13.0,46.6,0.29,3.5,13.32,163.12,0.02,9.06,5.0,0.0,0.0,0.0,7.0,5.0,8.0,5.0,1.0,b'true'
16.0,2.0,1.0,2.0,43.0,191.76,0.18,5.43,35.32,1040.96,0.06,57.83,13.0,0.0,1.0,0.0,8.0,14.0,24.0,19.0,3.0,b'true'
93.0,7.0,3.0,6.0,257.0,1499.05,0.03,29.86,50.21,44757.43,0.5,2486.52,71.0,4.0,15.0,0.0,22.0,35.0,162.0,95.0,12.0,b'true'
23.0,1.0,1.0,1.0,67.0,307.19,0.21,4.74,64.87,1454.65,0.1,80.81,18.0,0.0,1.0,0.0,7.0,17.0,44.0,23.0,1.0,b'true'
30.0,1.0,1.0,1.0,21.0,85.84,0.3,3.33,25.75,286.12,0.03,15.9,18.0,0.0,1.0,0.0,5.0,12.0,5.0,16.0,1.0,b'true'
30.0,1.0,1.0,1.0,54.0,108.0,0.03,39.0,2.77,4212.0,0.04,234.0,28.0,0.0,0.0,0.0,3.0,1.0,28.0,26.0,1.0,b'true'
35.0,3.0,1.0,3.0,108.0,529.94,0.08,13.0,40.76,6889.27,0.18,382.74,30.0,0.0,3.0,0.0,12.0,18.0,69.0,39.0,5.0,b'true'
25.0,4.0,1.0,4.0,57.0,232.99,0.07,13.5,17.26,3145.3,0.08,174.74,20.0,0.0,3.0,0.0,9.0,8.0,33.0,24.0,7.0,b'true'
20.0,7.0,7.0,3.0,54.0,240.81,0.1,9.58,25.13,2307.76,0.08,128.21,14.0,0.0,1.0,0.0,10.0,12.0,31.0,23.0,13.0,b'true'
119.0,14.0,1.0,14.0,289.0,1605.28,0.03,30.72,52.25,49320.73,0.54,2740.04,85.0,26.0,6.0,0.0,18.0,29.0,190.0,99.0,27.0,b'true'
35.0,4.0,1.0,4.0,78.0,362.22,0.07,14.31,25.32,5182.54,0.12,287.92,31.0,0.0,2.0,0.0,12.0,13.0,47.0,31.0,7.0,b'true'
33.0,4.0,1.0,4.0,73.0,334.7,0.07,14.5,23.08,4853.18,0.11,269.62,30.0,0.0,1.0,0.0,12.0,12.0,44.0,29.0,7.0,b'true'
17.0,2.0,1.0,2.0,25.0,92.51,0.16,6.4,14.45,592.07,0.03,32.89,12.0,0.0,3.0,0.0,8.0,5.0,17.0,8.0,3.0,b'true'
44.0,3.0,1.0,3.0,127.0,603.87,0.06,16.0,37.74,9661.93,0.2,536.77,38.0,2.0,2.0,0.0,12.0,15.0,87.0,40.0,5.0,b'true'
84.0,15.0,9.0,15.0,230.0,1347.34,0.04,25.26,53.35,34029.33,0.45,1890.52,72.0,0.0,10.0,0.0,21.0,37.0,141.0,89.0,29.0,b'true'
56.0,3.0,1.0,3.0,150.0,769.39,0.07,14.09,54.62,10838.4,0.26,602.13,43.0,3.0,4.0,0.0,12.0,23.0,96.0,54.0,5.0,b'true'
58.0,3.0,1.0,3.0,191.0,1016.49,0.05,21.0,48.4,21346.25,0.34,1185.9,46.0,2.0,3.0,0.0,15.0,25.0,121.0,70.0,5.0,b'true'
78.0,7.0,1.0,6.0,213.0,1189.6,0.06,17.71,67.19,21062.86,0.4,1170.16,66.0,4.0,6.0,0.0,14.0,34.0,127.0,86.0,13.0,b'true'
75.0,8.0,3.0,8.0,250.0,1356.57,0.03,29.1,46.62,39470.86,0.45,2192.83,63.0,5.0,5.0,0.0,17.0,26.0,161.0,89.0,15.0,b'true'
12.0,1.0,1.0,1.0,22.0,76.11,0.3,3.33,22.83,253.69,0.03,14.09,6.0,1.0,3.0,0.0,5.0,6.0,14.0,8.0,1.0,b'true'
11.0,1.0,1.0,1.0,22.0,76.11,0.3,3.33,22.83,253.69,0.03,14.09,6.0,1.0,2.0,0.0,5.0,6.0,14.0,8.0,1.0,b'true'
